file_name,pages,file_size_kb,has_text,word_count,character_count,status,error
dpgsslamgsc.pdf,1,22.37,True,1027,7907,Valid,
dpgsslampgdsc copy.pdf,1,22.96,True,1165,8627,Valid,
dpgsslampgdsc.pdf,1,22.96,True,1165,8627,Valid,
dpgsssscl copy.pdf,1,22.7,True,1160,8370,Valid,
dpgsssscl.pdf,1,22.7,True,1160,8370,Valid,
dpiit-is copy.pdf,1,21.94,True,1106,8247,Valid,
dpiit-is.pdf,1,21.94,True,1106,8247,Valid,
dpmbocwwb copy.pdf,2,23.3,True,1160,9228,Valid,
dpmbocwwb.pdf,2,23.3,True,1160,9228,Valid,
dpmsc copy.pdf,1,20.1,True,822,6185,Valid,
dpmsc.pdf,1,20.1,True,822,6185,Valid,
dpmss copy.pdf,1,19.68,True,716,5517,Valid,
dpmss(1) copy.pdf,1,19.68,True,716,5517,Valid,
dpmss(1).pdf,1,19.68,True,716,5517,Valid,
dpmss.pdf,1,19.68,True,716,5517,Valid,
dpps copy.pdf,1,19.01,True,686,5257,Valid,
dpps.pdf,1,19.01,True,686,5257,Valid,
dprw-hbocwwb copy.pdf,2,24.61,True,1390,9986,Valid,
dprw-hbocwwb.pdf,2,24.61,True,1390,9986,Valid,
dpswdwp copy.pdf,1,22.04,True,1177,8125,Valid,
dpswdwp.pdf,1,22.04,True,1177,8125,Valid,
dpwb copy.pdf,1,21.31,True,1018,7557,Valid,
dpwb.pdf,1,21.31,True,1018,7557,Valid,
dpyup copy.pdf,1,19.21,True,702,5267,Valid,
dpyup.pdf,1,19.21,True,702,5267,Valid,
dr copy.pdf,1,21.79,True,962,6949,Valid,
dr.pdf,1,21.79,True,962,6949,Valid,
drfdamt copy.pdf,1,22.29,True,1066,7805,Valid,
drfdamt.pdf,1,22.29,True,1066,7805,Valid,
drpdhma copy.pdf,2,25.42,True,1446,10544,Valid,
drpdhma.pdf,2,25.42,True,1446,10544,Valid,
drs copy.pdf,1,19.29,True,756,5800,Valid,
drs.pdf,1,19.29,True,756,5800,Valid,
ds copy.pdf,1,21.83,True,1027,7633,Valid,
ds-aandn copy.pdf,1,22.2,True,1216,8718,Valid,
ds-aandn.pdf,1,22.2,True,1216,8718,Valid,
ds.pdf,1,21.83,True,1027,7633,Valid,
dsaicmas copy.pdf,1,22.2,True,1118,8231,Valid,
dsaicmas.pdf,1,22.2,True,1118,8231,Valid,
dsc copy.pdf,1,19.59,True,673,5457,Valid,
